field_1,Longitude,Latitude,RMI_p,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,elevation,aspect
55,-78.36744,38.60482,17.55652046,28.72400093,28.84300041,27.97999954,28.40699959,26.36100006,31.29899979,30.94799995,30.8409996,28.25200081,27.56900024,28.11499977,29.37899971,1006.724426,331.1697083
56,-78.37192,38.60168,21.21868134,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1036.888184,341.3084717
57,-78.36075,38.5979,36.0569725,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,944.8134766,345.7290344
58,-78.36723,38.60688,12.16234779,28.72400093,28.84300041,27.97999954,28.40699959,26.36100006,31.29899979,30.94799995,30.8409996,28.25200081,27.56900024,28.11499977,29.37899971,937.2153931,285.5856323
59,-78.36693,38.60774,14.27671814,28.72400093,28.84300041,27.97999954,28.40699959,26.36100006,31.29899979,30.94799995,30.8409996,28.25200081,27.56900024,28.11499977,29.37899971,937.5205688,298.7862244
60,-78.36071,38.59698,28.27620506,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1010.710205,335.8638916
61,-78.38366,38.60451,23.97691345,28.72400093,28.84300041,27.97999954,28.40699959,26.36100006,31.29899979,30.94799995,30.8409996,28.25200081,27.56900024,28.11499977,29.37899971,859.454895,58.78565598
62,-78.35181,38.61708,28.04513168,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,925.6603394,35.12775421
63,-78.38232,38.59663,11.08325768,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1062.985962,270.0289307
64,-78.35433,38.61471,21.11037064,28.72400093,28.84300041,27.97999954,28.40699959,26.36100006,31.29899979,30.94799995,30.8409996,28.25200081,27.56900024,28.11499977,29.37899971,929.9008179,300.9077759
65,-78.34958,38.61676,15.45057106,26.75300026,26.67700005,25.56299973,26.16300011,24.1060009,28.99699974,28.75399971,28.54500008,26.18700027,25.4489994,26.1760006,27.29899979,954.0056152,313.6485596
66,-78.38058,38.59831,29.11600113,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1013.446594,44.03183365
67,-78.36028,38.59596,27.23905754,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1052.354736,21.06513214
68,-78.36239,38.59603,53.88524628,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1037.589111,12.63964272
69,-78.35886,38.59507,19.29982376,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1025.513672,66.13539124
70,-78.35991,38.59147,27.94103813,26.0720005,25.9109993,24.70899963,25.37100029,23.31900024,28.22299957,27.94499969,27.76099968,25.51099968,24.70499992,25.52300072,26.5359993,1067.927002,95.48857117
71,-78.35892,38.61489,19.48127365,28.72400093,28.84300041,27.97999954,28.40699959,26.36100006,31.29899979,30.94799995,30.8409996,28.25200081,27.56900024,28.11499977,29.37899971,961.3189697,129.3317719
72,-78.35888,38.61668,31.28503418,28.72400093,28.84300041,27.97999954,28.40699959,26.36100006,31.29899979,30.94799995,30.8409996,28.25200081,27.56900024,28.11499977,29.37899971,946.3329468,39.49877548
73,-78.36095,38.61795,14.27384186,28.72400093,28.84300041,27.97999954,28.40699959,26.36100006,31.29899979,30.94799995,30.8409996,28.25200081,27.56900024,28.11499977,29.37899971,936.4992676,270.2919617
74,-78.36015,38.61578,15.21611595,28.72400093,28.84300041,27.97999954,28.40699959,26.36100006,31.29899979,30.94799995,30.8409996,28.25200081,27.56900024,28.11499977,29.37899971,964.1740112,247.7910767
75,-78.35991,38.61858,26.55224609,28.72400093,28.84300041,27.97999954,28.40699959,26.36100006,31.29899979,30.94799995,30.8409996,28.25200081,27.56900024,28.11499977,29.37899971,958.2536011,80.22386932
