"","Latitude","Longitude","year","direction","T_final"
"133",38.54566,-78.41756,"year_2005","SW",25.02677992608
"134",38.54566,-78.41756,"year_2006","SW",24.95977857608
"135",38.54566,-78.41756,"year_2007.","SW",23.89778021608
"136",38.54566,-78.41756,"year_2008","SW",24.41878011608
"137",38.54566,-78.41756,"year_2009","SW",22.32177999608
"138",38.54566,-78.41756,"year_2010","SW",27.27577856608
"139",38.54566,-78.41756,"year_2011","SW",26.87277868608
"140",38.54566,-78.41756,"year_2012","SW",26.71077993608
"141",38.54566,-78.41756,"year_2013","SW",24.47078016608
"142",38.54566,-78.41756,"year_2014","SW",23.69477918608
"143",38.54566,-78.41756,"year_2015","SW",24.43777921608
"144",38.54566,-78.41756,"year_2016","SW",25.49677923608
"145",38.54632,-78.41766,"year_2005","NW",24.590183246368
"146",38.54632,-78.41766,"year_2006","NW",24.523181896368
"147",38.54632,-78.41766,"year_2007.","NW",23.461183536368
"148",38.54632,-78.41766,"year_2008","NW",23.982183436368
"149",38.54632,-78.41766,"year_2009","NW",21.885183316368
"150",38.54632,-78.41766,"year_2010","NW",26.839181886368
"151",38.54632,-78.41766,"year_2011","NW",26.436182006368
"152",38.54632,-78.41766,"year_2012","NW",26.274183256368
"153",38.54632,-78.41766,"year_2013","NW",24.034183486368
"154",38.54632,-78.41766,"year_2014","NW",23.258182506368
"155",38.54632,-78.41766,"year_2015","NW",24.001182536368
"156",38.54632,-78.41766,"year_2016","NW",25.060182556368
"157",38.54798821,-78.42462282,"year_2005","SW",27.42604387176
"158",38.54798821,-78.42462282,"year_2006","SW",27.35904252176
"159",38.54798821,-78.42462282,"year_2007.","SW",26.29704416176
"160",38.54798821,-78.42462282,"year_2008","SW",26.81804406176
"161",38.54798821,-78.42462282,"year_2009","SW",24.72104394176
"162",38.54798821,-78.42462282,"year_2010","SW",29.67504251176
"163",38.54798821,-78.42462282,"year_2011","SW",29.27204263176
"164",38.54798821,-78.42462282,"year_2012","SW",29.11004388176
"165",38.54798821,-78.42462282,"year_2013","SW",26.87004411176
"166",38.54798821,-78.42462282,"year_2014","SW",26.09404313176
"167",38.54798821,-78.42462282,"year_2015","SW",26.83704316176
"168",38.54798821,-78.42462282,"year_2016","SW",27.89604318176
"169",38.54853,-78.42367,"year_2005","SW",27.103226224608
"170",38.54853,-78.42367,"year_2006","SW",27.036224874608
"171",38.54853,-78.42367,"year_2007.","SW",25.974226514608
"172",38.54853,-78.42367,"year_2008","SW",26.495226414608
"173",38.54853,-78.42367,"year_2009","SW",24.398226294608
"174",38.54853,-78.42367,"year_2010","SW",29.352224864608
"175",38.54853,-78.42367,"year_2011","SW",28.949224984608
"176",38.54853,-78.42367,"year_2012","SW",28.787226234608
"177",38.54853,-78.42367,"year_2013","SW",26.547226464608
"178",38.54853,-78.42367,"year_2014","SW",25.771225484608
"179",38.54853,-78.42367,"year_2015","SW",26.514225514608
"180",38.54853,-78.42367,"year_2016","SW",27.573225534608
"181",38.5491,-78.418,"year_2005","NW",24.959421215216
"182",38.5491,-78.418,"year_2006","NW",24.892419865216
"183",38.5491,-78.418,"year_2007.","NW",23.830421505216
"184",38.5491,-78.418,"year_2008","NW",24.351421405216
"185",38.5491,-78.418,"year_2009","NW",22.254421285216
"186",38.5491,-78.418,"year_2010","NW",27.208419855216
"187",38.5491,-78.418,"year_2011","NW",26.805419975216
"188",38.5491,-78.418,"year_2012","NW",26.643421225216
"189",38.5491,-78.418,"year_2013","NW",24.403421455216
"190",38.5491,-78.418,"year_2014","NW",23.627420475216
"191",38.5491,-78.418,"year_2015","NW",24.370420505216
"192",38.5491,-78.418,"year_2016","NW",25.429420525216
"193",38.54999408,-78.41814034,"year_2005","NW",25.319264965216
"194",38.54999408,-78.41814034,"year_2006","NW",25.252263615216
"195",38.54999408,-78.41814034,"year_2007.","NW",24.190265255216
"196",38.54999408,-78.41814034,"year_2008","NW",24.711265155216
"197",38.54999408,-78.41814034,"year_2009","NW",22.614265035216
"198",38.54999408,-78.41814034,"year_2010","NW",27.568263605216
"199",38.54999408,-78.41814034,"year_2011","NW",27.165263725216
"200",38.54999408,-78.41814034,"year_2012","NW",27.003264975216
"201",38.54999408,-78.41814034,"year_2013","NW",24.763265205216
"202",38.54999408,-78.41814034,"year_2014","NW",23.987264225216
"203",38.54999408,-78.41814034,"year_2015","NW",24.730264255216
"204",38.54999408,-78.41814034,"year_2016","NW",25.789264275216
"205",38.55088172,-78.4182462,"year_2005","NW",25.495018490576
"206",38.55088172,-78.4182462,"year_2006","NW",25.428017140576
"207",38.55088172,-78.4182462,"year_2007.","NW",24.366018780576
"208",38.55088172,-78.4182462,"year_2008","NW",24.887018680576
"209",38.55088172,-78.4182462,"year_2009","NW",22.790018560576
"210",38.55088172,-78.4182462,"year_2010","NW",27.744017130576
"211",38.55088172,-78.4182462,"year_2011","NW",27.341017250576
"212",38.55088172,-78.4182462,"year_2012","NW",27.179018500576
"213",38.55088172,-78.4182462,"year_2013","NW",24.939018730576
"214",38.55088172,-78.4182462,"year_2014","NW",24.163017750576
"215",38.55088172,-78.4182462,"year_2015","NW",24.906017780576
"216",38.55088172,-78.4182462,"year_2016","NW",25.965017800576
"217",38.551,-78.39986,"year_2005","SW",23.3092040784
"218",38.551,-78.39986,"year_2006","SW",23.2422027284
"219",38.551,-78.39986,"year_2007.","SW",22.1802043684
"220",38.551,-78.39986,"year_2008","SW",22.7012042684
"221",38.551,-78.39986,"year_2009","SW",20.6042041484
"222",38.551,-78.39986,"year_2010","SW",25.5582027184
"223",38.551,-78.39986,"year_2011","SW",25.1552028384
"224",38.551,-78.39986,"year_2012","SW",24.9932040884
"225",38.551,-78.39986,"year_2013","SW",22.7532043184
"226",38.551,-78.39986,"year_2014","SW",21.9772033384
"227",38.551,-78.39986,"year_2015","SW",22.7202033684
"228",38.551,-78.39986,"year_2016","SW",23.7792033884
"229",38.55178,-78.39008,"year_2005","NE",20.5481947242
"230",38.55178,-78.39008,"year_2006","NE",20.4561937642
"231",38.55178,-78.39008,"year_2007.","NE",19.4001940042
"232",38.55178,-78.39008,"year_2008","NE",19.8461950642
"233",38.55178,-78.39008,"year_2009","NE",17.7061937642
"234",38.55178,-78.39008,"year_2010","NE",22.6051939342
"235",38.55178,-78.39008,"year_2011","NE",22.1621950442
"236",38.55178,-78.39008,"year_2012","NE",22.0091932642
"237",38.55178,-78.39008,"year_2013","NE",19.8121946642
"238",38.55178,-78.39008,"year_2014","NE",19.0851934742
"239",38.55178,-78.39008,"year_2015","NE",19.7651937742
"240",38.55178,-78.39008,"year_2016","NE",21.0061949042
"241",38.5518,-78.4184,"year_2005","NE",23.59358709906
"242",38.5518,-78.4184,"year_2006","NE",23.52658574906
"243",38.5518,-78.4184,"year_2007.","NE",22.46458738906
"244",38.5518,-78.4184,"year_2008","NE",22.98558728906
"245",38.5518,-78.4184,"year_2009","NE",20.88858716906
"246",38.5518,-78.4184,"year_2010","NE",25.84258573906
"247",38.5518,-78.4184,"year_2011","NE",25.43958585906
"248",38.5518,-78.4184,"year_2012","NE",25.27758710906
"249",38.5518,-78.4184,"year_2013","NE",23.03758733906
"250",38.5518,-78.4184,"year_2014","NE",22.26158635906
"251",38.5518,-78.4184,"year_2015","NE",23.00458638906
"252",38.5518,-78.4184,"year_2016","NE",24.06358640906
"253",38.55264,-78.39238,"year_2005","NE",20.3764880826
"254",38.55264,-78.39238,"year_2006","NE",20.2844871226
"255",38.55264,-78.39238,"year_2007.","NE",19.2284873626
"256",38.55264,-78.39238,"year_2008","NE",19.6744884226
"257",38.55264,-78.39238,"year_2009","NE",17.5344871226
"258",38.55264,-78.39238,"year_2010","NE",22.4334872926
"259",38.55264,-78.39238,"year_2011","NE",21.9904884026
"260",38.55264,-78.39238,"year_2012","NE",21.8374866226
"261",38.55264,-78.39238,"year_2013","NE",19.6404880226
"262",38.55264,-78.39238,"year_2014","NE",18.9134868326
"263",38.55264,-78.39238,"year_2015","NE",19.5934871326
"264",38.55264,-78.39238,"year_2016","NE",20.8344882626
"265",38.55317,-78.40177,"year_2005","SW",23.2709611072
"266",38.55317,-78.40177,"year_2006","SW",23.2039597572
"267",38.55317,-78.40177,"year_2007.","SW",22.1419613972
"268",38.55317,-78.40177,"year_2008","SW",22.6629612972
"269",38.55317,-78.40177,"year_2009","SW",20.5659611772
"270",38.55317,-78.40177,"year_2010","SW",25.5199597472
"271",38.55317,-78.40177,"year_2011","SW",25.1169598672
"272",38.55317,-78.40177,"year_2012","SW",24.9549611172
"273",38.55317,-78.40177,"year_2013","SW",22.7149613472
"274",38.55317,-78.40177,"year_2014","SW",21.9389603672
"275",38.55317,-78.40177,"year_2015","SW",22.6819603972
"276",38.55317,-78.40177,"year_2016","SW",23.7409604172
"277",38.55359,-78.39091,"year_2005","NE",20.6547886974
