"","year","lwr_nrw","lwr","upr_nrw","upr","med","param_set","true_beta.survAloneS1","true_beta.survBothS1","true_beta.colEmptyS1","true_beta.colOccS1","true_beta.survAloneC1","true_beta.survBothC1","true_beta.colEmptyC1","true_beta.colOccC1"
"49",5,1.48986870722381e-05,2.69335216611253e-18,0.999999996696807,1,0.992824017406424,6,0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,0.36328125
"50",6,1.89724689812398e-05,1.82303441537704e-18,0.999999998427319,1,0.996834961868653,6,0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,0.36328125
"51",7,8.66865525522697e-06,9.65500176614484e-19,0.999999997992123,1,0.993654355922224,6,0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,0.36328125
"52",8,1.48813914630049e-05,6.63431950115081e-19,0.999999999061385,1,0.997536238666606,6,0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,0.36328125
"53",9,7.07463721220853e-06,3.39209376079157e-19,0.999999998967057,1,0.995692888874996,6,0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,0.36328125
"54",10,9.1775850714582e-06,2.37828457603504e-19,0.99999999941361,1,0.997761105112181,6,0.88671875,0.70703125,0.91015625,0.31640625,0.08984375,0.04296875,0.83984375,0.36328125
"55",2,0.00275492390472623,1.26134650918896e-15,0.999999999944617,1,0.999864680476969,7,0.63671875,0.45703125,0.66015625,0.56640625,0.33984375,0.79296875,0.58984375,0.61328125
"56",3,0.00383944251852618,1.60128173111331e-15,0.999999999980182,1,0.999931970034733,7,0.63671875,0.45703125,0.66015625,0.56640625,0.33984375,0.79296875,0.58984375,0.61328125
"57",4,0.00683055395479013,2.86866689133327e-15,0.999999999989558,1,0.999974746496866,7,0.63671875,0.45703125,0.66015625,0.56640625,0.33984375,0.79296875,0.58984375,0.61328125
"58",5,0.00385713009973127,1.09333002186534e-15,0.999999999992948,1,0.999976079768331,7,0.63671875,0.45703125,0.66015625,0.56640625,0.33984375,0.79296875,0.58984375,0.61328125
"59",6,0.00529676591545919,1.17777723515838e-15,0.999999999996041,1,0.999987198475208,7,0.63671875,0.45703125,0.66015625,0.56640625,0.33984375,0.79296875,0.58984375,0.61328125
"60",7,0.00242723120453116,4.0481430361149e-16,0.99999999999624,1,0.99998129529148,7,0.63671875,0.45703125,0.66015625,0.56640625,0.33984375,0.79296875,0.58984375,0.61328125
"61",8,0.00503170972927098,5.78914466013566e-16,0.999999999998088,1,0.999991786610464,7,0.63671875,0.45703125,0.66015625,0.56640625,0.33984375,0.79296875,0.58984375,0.61328125
"62",9,0.00221761575847813,1.71508510512239e-16,0.999999999998309,1,0.999988597812583,7,0.63671875,0.45703125,0.66015625,0.56640625,0.33984375,0.79296875,0.58984375,0.61328125
"63",10,0.00337778122877462,2.16457276326342e-16,0.999999999998954,1,0.999993120389314,7,0.63671875,0.45703125,0.66015625,0.56640625,0.33984375,0.79296875,0.58984375,0.61328125
"64",2,4.99161136030331e-05,2.19599764012079e-17,0.999999998581172,1,0.993347071130226,8,0.13671875,0.95703125,0.16015625,0.06640625,0.83984375,0.29296875,0.08984375,0.11328125
"65",3,5.7971655197962e-05,1.81773156003315e-17,0.999999999453287,1,0.99691927747414,8,0.13671875,0.95703125,0.16015625,0.06640625,0.83984375,0.29296875,0.08984375,0.11328125
"66",4,5.92202182007986e-05,6.22425735390892e-18,0.999999999699454,1,0.998308531694933,8,0.13671875,0.95703125,0.16015625,0.06640625,0.83984375,0.29296875,0.08984375,0.11328125
"67",5,4.11701077328626e-05,5.08068683866941e-18,0.999999999792358,1,0.99860406624391,8,0.13671875,0.95703125,0.16015625,0.06640625,0.83984375,0.29296875,0.08984375,0.11328125
"68",6,3.92484892719113e-05,2.23309045949034e-18,0.999999999873986,1,0.999156944978755,8,0.13671875,0.95703125,0.16015625,0.06640625,0.83984375,0.29296875,0.08984375,0.11328125
"69",7,2.86305325434859e-05,1.52332076923067e-18,0.999999999898022,1,0.999042806255194,8,0.13671875,0.95703125,0.16015625,0.06640625,0.83984375,0.29296875,0.08984375,0.11328125
"70",8,2.95146159968705e-05,8.01415312021221e-19,0.999999999934267,1,0.999401227006877,8,0.13671875,0.95703125,0.16015625,0.06640625,0.83984375,0.29296875,0.08984375,0.11328125
"71",9,2.02266713015504e-05,5.95494666228139e-19,0.999999999946051,1,0.999320268304884,8,0.13671875,0.95703125,0.16015625,0.06640625,0.83984375,0.29296875,0.08984375,0.11328125
"72",10,2.19223365088287e-05,2.35101526252426e-19,0.999999999965929,1,0.999523561110756,8,0.13671875,0.95703125,0.16015625,0.06640625,0.83984375,0.29296875,0.08984375,0.11328125
"73",2,0.0016001800145454,6.57109939399388e-16,0.999999999927565,1,0.999818793581405,9,0.19921875,0.01953125,0.59765625,0.25390625,0.90234375,0.35546875,0.40234375,0.55078125
"74",3,0.00100232050600837,3.43534800179908e-16,0.999999999948714,1,0.99980994023447,9,0.19921875,0.01953125,0.59765625,0.25390625,0.90234375,0.35546875,0.40234375,0.55078125
"75",4,0.00221285418646206,4.5642470350914e-16,0.99999999997985,1,0.99994399895943,9,0.19921875,0.01953125,0.59765625,0.25390625,0.90234375,0.35546875,0.40234375,0.55078125
"76",5,0.000930009375230799,1.52251679529629e-16,0.999999999981648,1,0.999923790112242,9,0.19921875,0.01953125,0.59765625,0.25390625,0.90234375,0.35546875,0.40234375,0.55078125
"77",6,0.00159904838694842,1.57031106429864e-16,0.999999999991272,1,0.999967806123254,9,0.19921875,0.01953125,0.59765625,0.25390625,0.90234375,0.35546875,0.40234375,0.55078125
"78",7,0.000651189064646701,6.12485194665194e-17,0.99999999999007,1,0.999940457028153,9,0.19921875,0.01953125,0.59765625,0.25390625,0.90234375,0.35546875,0.40234375,0.55078125
