"","year","lwr_nrw","lwr","upr_nrw","upr","med","param_set","true_beta.survAloneS1","true_beta.survBothS1","true_beta.colEmptyS1","true_beta.colOccS1","true_beta.survAloneC1","true_beta.survBothC1","true_beta.colEmptyC1","true_beta.colOccC1"
"63",10,0.00449445002782332,9.93841677170173e-17,0.999999999999263,1,0.999994371831183,7,0.63671875,0.45703125,0.66015625,0.56640625,0.33984375,0.79296875,0.58984375,0.61328125
"64",2,6.39164259659229e-05,2.19702737674475e-17,0.999999997923113,1,0.993995130591689,8,0.13671875,0.95703125,0.16015625,0.06640625,0.83984375,0.29296875,0.08984375,0.11328125
"65",3,7.00430756125794e-05,8.86079954195998e-18,0.999999999036279,1,0.996906608049645,8,0.13671875,0.95703125,0.16015625,0.06640625,0.83984375,0.29296875,0.08984375,0.11328125
"66",4,7.4761254603678e-05,7.55253531314538e-18,0.999999999638837,1,0.998724902694691,8,0.13671875,0.95703125,0.16015625,0.06640625,0.83984375,0.29296875,0.08984375,0.11328125
"67",5,4.5449337035377e-05,3.37904197444525e-18,0.999999999707423,1,0.998734216163814,8,0.13671875,0.95703125,0.16015625,0.06640625,0.83984375,0.29296875,0.08984375,0.11328125
"68",6,4.54609267577686e-05,2.83589835241635e-18,0.999999999826765,1,0.999247587086942,8,0.13671875,0.95703125,0.16015625,0.06640625,0.83984375,0.29296875,0.08984375,0.11328125
"69",7,3.22222655841842e-05,1.12290563336907e-18,0.999999999855096,1,0.9991044411791,8,0.13671875,0.95703125,0.16015625,0.06640625,0.83984375,0.29296875,0.08984375,0.11328125
"70",8,3.48122535062232e-05,9.76448837757337e-19,0.999999999915635,1,0.999496878966186,8,0.13671875,0.95703125,0.16015625,0.06640625,0.83984375,0.29296875,0.08984375,0.11328125
"71",9,2.13536143539375e-05,4.40363682893297e-19,0.999999999918382,1,0.999322429676561,8,0.13671875,0.95703125,0.16015625,0.06640625,0.83984375,0.29296875,0.08984375,0.11328125
"72",10,2.51862652601446e-05,3.48719976948672e-19,0.999999999955993,1,0.99959320225577,8,0.13671875,0.95703125,0.16015625,0.06640625,0.83984375,0.29296875,0.08984375,0.11328125
"73",2,0.0015070824973789,5.84956437192852e-16,0.999999999910776,1,0.999764874799216,9,0.19921875,0.01953125,0.59765625,0.25390625,0.90234375,0.35546875,0.40234375,0.55078125
