"","occ_v","occ_z","col_prob_v","surv_prob_v","col_prob_z","surv_prob_z","alpha.psiS","alpha.psiC","alpha.survS","alpha.colS","beta.survS1","beta.colS1","beta.survS2","beta.colS2","alpha.survC","alpha.colC","beta.survC1","beta.colC1","beta.survC2","beta.colC2"
"29",0.999653273514554,0.999999991511041,0.803511911436405,0.99999994466532,0.999999999514341,0.999960769969809,0.258107107950819,0.999986278315361,0.558220156995061,0.688102795950087,0.944329328744566,0.999986278315361,0.281961235169496,0.83913888762638,0.643285694762323,0.698318158425958,0.0394565621452997,0.731044170501803,0.419018431612752,0.169837789472131
"30",0.999957796086122,0.999994003452184,0.99998716029259,0.992151829110406,0.999812646486521,0.999999999259104,0.812850868894079,0.999999999726752,0.0730216916461778,0.161564703397679,0.385671414204707,0.999999999726752,0.811466926801623,0.35975671518349,0.134129280285974,0.176744726468804,0.497676685641989,0.211679857635211,0.909208817825779,0.679989766443274
"31",0.999921223224863,0.991596376806732,0.999090638165414,0.999987866916982,0.978833853411222,0.988361240560535,0.510564343594877,0.993232250909973,0.336118529967835,0.948534182137543,0.159334615926645,0.993232250909973,0.540126036692133,0.599413406493118,0.886116648201108,0.450308871346545,0.276412692937171,0.489365839797034,0.163084077903432,0.908764555632437
"32",0.999999995793633,0.999999928149414,0.999999980472861,0.999999999920848,0.999999858419233,0.999999845672861,0.0121333974695386,0.999999900263648,0.817064893546043,0.431931344311558,0.671410702737747,0.999999900263648,0.0725263271575082,0.048845352992206,0.396192150242427,0.97301815262944,0.784075464931192,1.00449279009853,0.632765022868833,0.414029449539614
"33",0.999972634833877,0.999933299331713,0.999996219117484,0.992069350692414,0.999858073739947,0.999875033119694,0.0675199270110579,0.999958944484306,0.225215814600688,0.879243064278467,0.395082475052697,0.999958944484306,0.696966435062724,0.94561396868781,0.891687290066182,0.167385178930789,0.525691816598955,0.203378315107169,0.31650206356292,1.01953931752826
"34",0.997191837158027,0.999999998552342,0.541021181210157,0.99999983258335,0.999999997440968,0.999999995838339,0.543173422702766,0.999999998504081,0.770125833343546,0.361307017539871,0.856767563031622,0.999999998504081,0.187970356163743,0.466848171475219,0.39639746984,0.640301638930604,-0.00939910292436096,0.672942058154797,0.84033158417684,0.486408633140545
"35",0.99999999801661,0.999992450419607,0.999999989965463,0.99999999964487,0.999999291686378,0.949173156905521,0.824896585872558,0.969740975791989,0.991348594414278,0.595230153990423,0.600271104637858,0.969740975791989,0.483499655907823,0.695380580734853,0.658468292760634,0.906886616102922,0.791624670085171,0.934473401365925,0.0740648900875405,0.215705240145631
"36",0.999762322337806,0.999654290035764,0.99901830869466,0.999965607769811,0.961446744173518,0.999998473296402,0.320150931113491,0.999999155126015,0.517530488479866,0.12928430900024,0.125602352156982,0.999999155126015,0.940371923644214,0.206707921181453,0.189750580665255,0.397854411281971,0.300869154793003,0.442171662505347,0.554999785096226,0.754829068881537
"37",0.999999998392279,0.999999380975735,0.999999999642236,0.999998820631396,0.999995395253235,0.999999954211127,0.387762167335975,0.999999979950049,0.61032236987055,1.00613413765964,0.532151678801792,0.999999979950049,0.603586340734051,0.323108076473156,0.780286584582406,0.796137059239023,0.945863051768153,0.580333983891528,0.456669885945697,0.625508913983748
"38",0.999719476558106,0.921187068181894,0.999917010455183,0.930137276691745,0.568923913842944,0.99744862808305,0.941513064474903,0.999062990230688,0.121939438305442,0.481896933347245,0.0112517569270233,0.999062990230688,0.0862832314943015,0.843249173157981,0.25034679417565,0.260282702233518,0.415713695814631,0.0997761743376812,0.929011846760121,0.112040166185213
"39",0.99999830854454,0.999990449861829,0.999999871971825,0.998958163685825,0.997770110433882,0.999999999886388,0.706587387991478,0.999999999943197,0.363591278810236,0.739447082860161,0.259820122254455,0.999999999943197,0.340896239105908,0.0618676629400267,0.547557753868872,0.0547908658428854,0.695796918473566,0.305029536052137,0.187143741729746,0.360583449418039
