"","occ_v","occ_z","col_prob_v","surv_prob_v","col_prob_z","surv_prob_z","true_alpha.psiSC","true_alpha.psiSc","true_alpha.psiC","true_alpha.survAloneS","true_alpha.survBothS","true_alpha.colEmptyS","true_alpha.colOccS","true_beta.survAloneS1","true_beta.survBothS1","true_beta.colEmptyS1","true_beta.colOccS1","true_beta.survAloneS2","true_beta.survBothS2","true_beta.colEmptyS2","true_beta.colOccS2","true_alpha.survAloneC","true_alpha.survBothC","true_alpha.colEmptyC","true_alpha.colOccC","true_beta.survAloneC1","true_beta.survBothC1","true_beta.colEmptyC1","true_beta.colOccC1","true_beta.survAloneC2","true_beta.survBothC2","true_beta.colEmptyC2","true_beta.colOccC2","colB_prob_v","colA_prob_v","survB_prob_v","survA_prob_v","colB_prob_z","colA_prob_z","survB_prob_z","survA_prob_z","alpha.psiSC","alpha.psiSc","alpha.psiC","alpha.survAloneS","alpha.survBothS","alpha.colEmptyS","alpha.colOccS","beta.survAloneS1","beta.survBothS1","beta.colEmptyS1","beta.colOccS1","beta.survAloneS2","beta.survBothS2","beta.colEmptyS2","beta.colOccS2","alpha.survAloneC","alpha.survBothC","alpha.colEmptyC","alpha.colOccC","beta.survAloneC1","beta.survBothC1","beta.colEmptyC1","beta.colOccC1","beta.survAloneC2","beta.survBothC2","beta.colEmptyC2","beta.colOccC2"
"11",0.99999776234678,0.999999994942559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.930412110970499,0.326521877720237,0.780937741736232,0.865274363724755,0.69357208240828,0.00725162791224035,0.430454517033543,0.910003517993822,0.955470276254078,0.491131550839205,0.0952544058727566,0.416374246053156,0.43388656878155,0.942217433150679,0.163308076259347,0.197516536242899,0.551026747628945,0.916713169114069,0.252352243531543,0.639797702750819,0.575609093617231,0.189204352458161,0.0664106876625813,0.596037346742703,0.894520810619446,0.734806904307806,0.360861172039248
"12",0.999926647920412,0.99999872427321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.466289757303968,0.801311604198942,0.363551556191923,0.343105709169441,0.212214498606522,0.505983217952476,0.875580059565598,0.372065113198605,0.411885821912487,0.99375822548251,0.593201707767167,0.956066874145638,0.957974168096691,0.438789324693436,0.624250869965564,0.725415207844015,0.0746681015883629,0.430225563447005,0.785180725622879,0.145701401427338,0.0801321534756907,0.705882880933641,0.599741413729179,0.0757610214932856,0.424296763823989,0.220784844218609,0.817902337235325
"13",0.999999413027107,0.999994828155148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.346366479301672,0.411928501302795,0.685777684356937,0.712599182189627,0.587519523932704,0.612469585079221,0.545683726905319,0.244705540865461,0.561538995113699,0.357189302646164,0.237071771913332,0.0503943694558313,0.0693442097700347,0.289199499841536,0.763023800658037,0.842360472511087,0.89651195178229,0.841545596265112,0.907015192680238,0.0363810556051757,0.682388663124016,0.845434083931444,0.474599267432573,0.15013300777621,0.766377852838441,0.582686327920725,0.963542290943631
"14",0.999995774803253,0.999996356948236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.809345027246305,0.911969162485907,0.226553519077908,0.246266297529215,0.0645888937048942,0.113964768356346,-0.0250985189745065,0.74500501585067,0.0410897058743773,0.82593855512514,0.714782008504728,0.554724027968122,0.577833190623066,0.81093828980478,0.20739178351344,0.298605688374024,0.442099674254219,0.382583990489468,0.376080732930474,0.51872555441559,0.221548422417386,0.364054175907921,0.974392620561456,0.682041964379373,0.225420491174504,0.0828341902130843,0.426871165224629
"15",0.999998955333533,0.999999956245106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.540318727411657,0.219313984677945,0.431740815111801,0.924817284965289,0.347476470086863,0.845593824748453,0.303034348755767,0.463173854296892,0.820699422345874,0.593493207188904,0.530679924588123,0.771903295353125,0.331539221831698,0.572988913646937,0.482949730547591,0.0617165011190494,0.203433653635698,0.586969587580296,0.137300379963542,0.255560380761081,0.461892641234801,0.665266217633597,0.751678237466701,0.441075155246944,0.976749622237853,0.375360582102794,0.248846899630389
"16",0.999999925817295,0.999999854624356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0343587852803259,0.686250604786476,0.924515792073739,0.502593008995867,0.848621603445752,0.37671297156,0.733865919797333,0.972657608624781,0.242700981806419,0.121460089185771,0.988374787807341,0.334481955476254,0.804278730617398,0.0881527530122097,-0.00826059508830823,0.532469167084183,0.69549509092012,0.0874075232125979,0.623845078020545,0.732003699952091,0.92355788051447,0.131103722672172,0.325223221297823,0.941018203578432,0.465427894834637,0.839820214769585,0.750565274726725
"17",0.999999997311625,0.999999076088931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0889693741397828,0.210559189314318,0.507515232651715,0.353782571627746,0.680285795325541,0.158202054409668,0.265907797909824,0.722169636727167,0.350331226924928,0.809197829591237,0.505037058627132,0.647146662085092,0.515183119747657,0.714771344487126,0.638859609934511,0.806738195943215,0.48660111191157,0.139724906072314,0.794116028383447,0.301844493519508,0.998568938392592,0.843165795986169,0.871258630498986,1.01060085679713,0.538690865515226,0.5010461494441,0.595547421314282
"18",0.999999472915994,0.999991476390824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.578281041873622,0.773625378062848,0.0368344244487657,0.843473036969274,0.133728598943596,0.649042751584961,0.727226980579595,0.243460611016458,0.880943905847898,0.222703238044677,-0.0315495973033975,0.156925289301833,0.974345213168726,0.230029015019214,0.125405621862662,0.277934072274087,0.947540049601353,0.668364374528175,0.33980178879732,0.809721957105801,0.50306151157305,0.332525673720247,0.352939496114565,0.459419192873995,0.034332096373256,0.0423787881028293,0.108171385018685
"19",0.984665055869926,0.99999726224456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.896892016437545,0.451891531750487,0.25274619897214,0.0995896941276146,0.473217459015093,0.427185530454057,1.01865775791317,0.9171941254953,0.0283149402905231,-0.00873576191099467,0.727170267855229,0.429382359674255,0.308228255140653,0.438690780971887,0.872668592866398,0.00936926049964956,0.72522249884807,0.424040091422966,0.030456546810762,0.0342983673147704,0.178379569285613,0.598835297931325,0.0836868930467526,0.696508678342911,0.770818756083868,0.233768861769154,0.347929144140276
"20",0.999999891141052,0.999998465519413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.345611246414511,0.954134106507712,0.743931419389978,0.572657529227045,0.912642517378977,0.880102044703196,0.472274870112085,0.463431386818735,0.611289230969015,0.483363705497456,0.252669557212798,0.903054292894037,0.72640464702536,0.970379403592196,0.372794929504894,0.567724478226306,0.273536561933822,0.95157519975606,0.556535835970762,0.561678211619384,0.754763084149722,0.118608988109942,0.589909163901034,0.212912205862036,0.278783864727778,0.749306127666688,0.846125854949525
